ODKAZ;KLUCOVE SLOVO;TOP;SKORE-18;SKORE-19;SKORE-20;SKORE-21;SKORE-22;SKORE-23
https://nutrition.org/is-there-a-link-between-dairy-consumption-and-cancer-mortality/;consumption cancer;alcohol consumption cancer;29;17;29;18;17;47
https://www.sciencedaily.com/releases/2015/06/150616114247.htm;cancer nut;betel nut cancer;5;3;4;7;10;10
https://news.cancerresearchuk.org/2021/03/17/bacon-salami-and-sausages-how-does-processed-meat-cause-cancer-and-how-much-matters/;meat bowel;bowel cancer;74;66;56;63;25;67
https://news.cancerresearchuk.org/2021/03/17/bacon-salami-and-sausages-how-does-processed-meat-cause-cancer-and-how-much-matters/;meat bowel;bowel cancer red meat;3;5;2;4;2;4
https://www.wcrf.org/diet-activity-and-cancer/risk-factors/meat-fish-dairy-and-cancer-risk/;cancer dairy;breast cancer;46;50;59;51;52;54
https://www.wcrf.org/diet-activity-and-cancer/risk-factors/meat-fish-dairy-and-cancer-risk/;cancer dairy;breast cancer dairy;13;11;8;11;14;16
https://www.everydayhealth.com/prostate-cancer/drinking-milk-may-put-you-at-risk-for-prostate-cancer/;cancer milk;breast milk cancer;67;59;20;65;70;69
https://nypost.com/2023/11/22/lifestyle/eating-red-meat-and-dairy-could-help-fight-cancer-new-study/;tumor immunity;cancer;84;86;76;84;79;85
https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/plant-power-to-lower-cancer-risk;cancer diet;cancer and diet;71;74;73;73;73;68
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9750928/;diets cancer;cancer diet;85;80;76;86;87;55
https://www.wcrf.org/diet-activity-and-cancer/risk-factors/wholegrains-vegetables-fruit-and-cancer-risk/;cancer foods;cancer foods to eat;71;68;62;67;76;70
https://nypost.com/2023/11/22/lifestyle/eating-red-meat-and-dairy-could-help-fight-cancer-new-study/;supplement cancer;cancer supplements;78;66;74;80;24;80
https://www.sciencedaily.com/releases/2010/05/100504124740.htm;ovarian cancer;cancer symptoms;84;76;68;91;80;84
https://www.wcrf.org/diet-activity-and-cancer/risk-factors/meat-fish-dairy-and-cancer-risk/;cancer dairy;dairy and cancer;53;42;29;44;51;47
https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/plant-power-to-lower-cancer-risk;cancer diet;diet for cancer;85;70;78;84;81;81
https://www.wcrf.org/diet-activity-and-cancer/risk-factors/wholegrains-vegetables-fruit-and-cancer-risk/;cancer foods;foods for cancer;82;78;77;83;84;82
https://news.cancerresearchuk.org/2021/03/17/bacon-salami-and-sausages-how-does-processed-meat-cause-cancer-and-how-much-matters/;meat cancer;meat and cancer;65;54;58;57;65;63
https://www.npr.org/sections/health-shots/2023/10/19/1207123096/red-meat-type-2-diabetes-risk-processed-meat-bacon-hot-dogs;meat risk;meat cancer risk;19;18;48;6;42;48
https://www.pcf.org/c/plant-based-diets-and-prostate-cancer/;cancer nutrition;nutrition and cancer;63;65;68;73;62;65
https://www.pcf.org/c/plant-based-diets-and-prostate-cancer/;cancer nutrition;nutrition for cancer;64;62;64;64;71;67
https://www.sciencedaily.com/releases/2010/05/100504124740.htm;ovarian cancer;ovarian cancer symptoms;60;63;76;71;70;75
https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/plant-power-to-lower-cancer-risk;cancer prevention;prevention for cancer;75;72;64;61;75;70
https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/plant-power-to-lower-cancer-risk;cancer prevention;prevention of cancer;70;68;56;72;71;65
https://www.sciencedaily.com/releases/2016/04/160419081941.htm;increased prostate;prostate cancer;62;84;74;72;76;90
https://www.sciencedaily.com/releases/2016/04/160419081941.htm;increased prostate;prostate cancer risk;72;71;68;71;20;70
https://news.cancerresearchuk.org/2021/03/17/bacon-salami-and-sausages-how-does-processed-meat-cause-cancer-and-how-much-matters/;meat cancer;red meat cancer;66;34;63;56;68;58
https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/plant-power-to-lower-cancer-risk;cancer diet;the cancer diet;71;66;65;61;63;75
https://www.wcrf.org/diet-activity-and-cancer/risk-factors/wholegrains-vegetables-fruit-and-cancer-risk/;cancer foods;what is cancer;80;78;67;84;86;86
;;;;;;;;
https://diatribe.org/type-1-diabetes-new-studies-vegan-and-moderate-carbohydrate-diets-type-1-diabetes;adding diabetes;diabetes mellitus;80;82;85;81;83;83
https://diatribe.org/type-1-diabetes-new-studies-vegan-and-moderate-carbohydrate-diets-type-1-diabetes;adding diabetes;type 1 diabetes;80;76;80;72;70;87
https://diatribe.org/type-1-diabetes-new-studies-vegan-and-moderate-carbohydrate-diets-type-1-diabetes;adding diabetes;type 2 diabetes;84;85;86;85;78;79
https://www.everydayhealth.com/type-2-diabetes/diet/guide-eating-dairy-with-diabetes/#:~:text=The%20Best%20Dairy%20Choices%20to%20Make%20When%20You,2%20String%20Cheese%20...%203%20Grass-Fed%20Dairy%20;dairy diabetes;what is diabetes;80;73;85;85;82;85
https://type2diabetesrevolution.com/effects-plant-based-diets-blood-sugar-type-2-diabetes/;diabetes diets;diabetes diet;80;88;81;82;83;80
https://type2diabetesrevolution.com/effects-plant-based-diets-blood-sugar-type-2-diabetes/;diabetes diets;diets for diabetes;42;43;57;34;53;48
https://diatribe.org/type-1-diabetes-new-studies-vegan-and-moderate-carbohydrate-diets-type-1-diabetes;diabetes eat;diabetes type 2;87;88;85;87;81;79
https://diatribe.org/type-1-diabetes-new-studies-vegan-and-moderate-carbohydrate-diets-type-1-diabetes;diabetes eat;diabetes what to eat;82;80;78;82;75;79
https://diatribe.org/type-1-diabetes-new-studies-vegan-and-moderate-carbohydrate-diets-type-1-diabetes;diabetes eat;what is diabetes;80;73;85;85;82;85
https://type2diabetes.com/nutrition/best-whole-grains-type-2-diabetes;diabetes eating;diabetes type 2;84;84;86;86;81;78
https://type2diabetes.com/nutrition/best-whole-grains-type-2-diabetes;diabetes eating;eating for diabetes;62;72;79;77;75;79
https://type2diabetes.com/nutrition/best-whole-grains-type-2-diabetes;diabetes eating;eating with diabetes;60;61;68;70;72;71
https://www.americandairy.com/health-wellness/benefits-of-dairy/diabetes-and-dairy/;diabetes managing;diabetes type 2;87;88;85;87;81;79
https://www.americandairy.com/health-wellness/benefits-of-dairy/diabetes-and-dairy/;diabetes managing;managing diabetes type 2;15;8;14;10;21;22
https://www.americandairy.com/health-wellness/benefits-of-dairy/diabetes-and-dairy/;diabetes managing;what is diabetes;80;73;85;85;82;85
https://www.sciencedaily.com/releases/2017/09/170905134506.htm;diabetes meats;type 2 diabetes;84;85;86;85;78;79
https://www.sciencedaily.com/releases/2017/09/170905134506.htm;diabetes meats;what is diabetes;80;73;85;85;82;85
https://diatribe.org/type-1-diabetes-new-studies-vegan-and-moderate-carbohydrate-diets-type-1-diabetes;diabetes nutrition;nutrition and diabetes;72;68;67;64;73;70
https://diatribe.org/type-1-diabetes-new-studies-vegan-and-moderate-carbohydrate-diets-type-1-diabetes;diabetes nutrition;nutrition for diabetes;72;70;71;74;71;73
https://type2diabetes.com/nutrition/best-whole-grains-type-2-diabetes;diet diabetes;diet and diabetes;82;79;80;82;76;71
https://type2diabetes.com/nutrition/best-whole-grains-type-2-diabetes;diet diabetes;diet for diabetes;77;86;85;82;82;83
https://type2diabetes.com/nutrition/best-whole-grains-type-2-diabetes;diet diabetes;type 2 diabetes;86;81;86;86;78;78
https://www.diabetescarecommunity.ca/diet-and-fitness-articles/what-are-whole-grains-and-why-should-you-eat-them/;grains diabetes;what is diabetes;79;73;85;85;79;86
https://www.diabetescarecommunity.ca/diet-and-fitness-articles/what-are-whole-grains-and-why-should-you-eat-them/;grains diabetes;whole grains for diabetes;5;2;7;4;12;13
https://www.sciencedaily.com/releases/2017/09/170905134506.htm;meat diabetes;diabetes and meat;41;34;53;37;63;33
https://www.sciencedaily.com/releases/2017/09/170905134506.htm;meat diabetes;diabetes red meat;16;15;19;21;29;18
https://www.theguardian.com/society/2023/nov/16/plant-based-swaps-may-cut-diabetes-and-heart-disease-risk-major-review-finds;nutrition diabetes;diabetes and nutrition;67;71;62;67;73;70
https://www.theguardian.com/society/2023/nov/16/plant-based-swaps-may-cut-diabetes-and-heart-disease-risk-major-review-finds;nutrition diabetes;nutrition for diabetes;71;71;69;74;71;74
https://www.americandairy.com/health-wellness/benefits-of-dairy/diabetes-and-dairy/;prevention diabetes;diabetes prevention program;63;59;55;56;61;56
https://www.americandairy.com/health-wellness/benefits-of-dairy/diabetes-and-dairy/;prevention diabetes;prevention for diabetes;55;66;49;65;65;59
https://www.americandairy.com/health-wellness/benefits-of-dairy/diabetes-and-dairy/;prevention diabetes;prevention of diabetes;65;62;68;68;65;69
https://www.npr.org/sections/health-shots/2023/10/19/1207123096/red-meat-type-2-diabetes-risk-processed-meat-bacon-hot-dogs;risk diabetes;diabetes risk factors;64;67;68;71;65;62
https://www.npr.org/sections/health-shots/2023/10/19/1207123096/red-meat-type-2-diabetes-risk-processed-meat-bacon-hot-dogs;risk diabetes;risk for diabetes;67;72;45;71;72;66
https://www.npr.org/sections/health-shots/2023/10/19/1207123096/red-meat-type-2-diabetes-risk-processed-meat-bacon-hot-dogs;risk diabetes;risk of diabetes;70;66;67;74;69;74
https://www.healthline.com/nutrition/does-sugar-cause-diabetes#bottom-line;sweeteners diabetes;sweeteners for diabetes;10;7;5;16;16;14
https://www.healthline.com/nutrition/does-sugar-cause-diabetes#bottom-line;sweeteners diabetes;diabetes artificial sweeteners;7;15;12;22;38;30
https://www.bbcgoodfood.com/howto/guide/davinas-tips-going-sugar-free;manage sugar;manage diabetes;65;68;64;70;79;67
https://www.bbcgoodfood.com/howto/guide/davinas-tips-going-sugar-free;manage sugar;diabetes;79;80;88;89;79;84
https://www.bbcgoodfood.com/howto/guide/davinas-tips-going-sugar-free;manage sugar;how to manage diabetes;43;61;56;66;68;66
;;;;;;;;
https://newsroom.heart.org/news/eating-more-plant-foods-may-lower-heart-disease-risk-in-young-adults-older-women;diet heart;diet for heart;73;77;77;81;80;78
https://newsroom.heart.org/news/eating-more-plant-foods-may-lower-heart-disease-risk-in-young-adults-older-women;diet heart;healthy heart diet;79;75;73;80;77;79
https://newsroom.heart.org/news/eating-more-plant-foods-may-lower-heart-disease-risk-in-young-adults-older-women;diet heart;heart healthy;66;76;76;76;81;75
https://www.frontiersin.org/articles/10.3389/fcvm.2021.756810/full;diet cardiovascular;cardiovascular disease;76;77;54;79;73;83
https://www.frontiersin.org/articles/10.3389/fcvm.2021.756810/full;diet cardiovascular;cardiovascular health;69;76;51;61;73;77
https://www.frontiersin.org/articles/10.3389/fcvm.2021.756810/full;diet cardiovascular;diet for cardiovascular disease;21;22;37;31;50;53
https://www.frontiersin.org/articles/10.3389/fcvm.2021.756810/full;diets cardiovascular;cardiovascular diet;55;63;62;65;64;64
https://www.frontiersin.org/articles/10.3389/fcvm.2021.756810/full;diets cardiovascular;cardiovascular disease;76;77;54;79;73;83
https://www.frontiersin.org/articles/10.3389/fcvm.2021.756810/full;diets cardiovascular;what is cardiovascular disease;63;65;61;70;62;68
;;;;;;;;
https://www.health.harvard.edu/heart-health/the-sweet-danger-of-sugar;consumption sugar;average sugar consumption;10;9;8;19;16;16
https://www.health.harvard.edu/heart-health/the-sweet-danger-of-sugar;limit sugar;daily sugar limit;9;3;7;7;16;53
https://www.taste.com.au/healthy/articles/the-sugar-free-diet/yc4b9bvp;give sugar;give up sugar;58;43;54;66;65;55
https://www.bbcgoodfood.com/howto/guide/davinas-tips-going-sugar-free;consumption sugar;high sugar consumption;4;13;19;20;34;48
https://www.health.harvard.edu/heart-health/the-sweet-danger-of-sugar;give sugar;how to give up sugar;16;23;30;28;46;46
https://www.bbcgoodfood.com/howto/guide/davinas-tips-going-sugar-free;reduce sugar;how to reduce sugar;79;80;81;69;89;83
https://www.webmd.com/diet/foods-high-in-sugar;sugar diet;no sugar;84;59;82;84;77;82
https://www.webmd.com/diet/foods-high-in-sugar;;low sugar diets;8;4;4;4;11;6
https://www.health.harvard.edu/heart-health/the-sweet-danger-of-sugar;sugar intake;recommended sugar intake;66;71;69;69;63;75
https://www.health.harvard.edu/heart-health/the-sweet-danger-of-sugar;contain sugars;simple sugars;30;50;40;45;46;58
https://www.taste.com.au/healthy/articles/the-sugar-free-diet/yc4b9bvp;health sugar;sugar and health;74;75;68;68;76;75
https://www.health.harvard.edu/heart-health/the-sweet-danger-of-sugar;sugar intake;sugar daily intake;74;67;74;75;81;79
https://www.health.harvard.edu/heart-health/the-sweet-danger-of-sugar;sugar diets;sugar diet;74;54;68;81;84;80
https://www.verywellfit.com/what-is-a-no-sugar-diet-2507715;plan sugar;sugar diet plan;61;55;62;57;60;74
https://www.goodto.com/wellbeing/sugar-free-diet-83093;sugar intake;sugar per day;77;80;79;80;89;89
https://www.byrdie.com/how-to-give-up-sugar;sugars naturally;what are sugars;53;55;49;65;58;60
https://www.healthline.com/nutrition/does-sugar-cause-diabetes#bottom-line;consumption sugar;what is sugar;85;81;80;85;85;84
;;;;;;;;
https://health.clevelandclinic.org/cottage-cheese-benefits;cheese diet;cheese for diet;73;57;68;64;70;66
https://health.clevelandclinic.org/cottage-cheese-benefits;cheese diet;keto diet;51;51;51;56;59;61
https://type2diabetesrevolution.com/effects-plant-based-diets-blood-sugar-type-2-diabetes/;diabetes diets;diet;77;70;70;80;84;82
https://www.verywellhealth.com/mediterranean-diet-lean-beef-5184005;diet beef;ground beef diet;64;54;46;53;52;60
https://www.verywellhealth.com/mediterranean-diet-lean-beef-5184005;diet beef;keto diet;51;51;51;56;59;61
https://newsroom.heart.org/news/eating-more-plant-foods-may-lower-heart-disease-risk-in-young-adults-older-women;foods diets;best diets;36;34;32;53;72;62
https://type2diabetesrevolution.com/effects-plant-based-diets-blood-sugar-type-2-diabetes/;diabetes diets;diet;77;69;71;79;82;82
https://www.sciencemediacentre.org/expert-reaction-to-study-on-the-vegetarian-diet-and-diabetes-risk/;diet health;diet and health;77;80;68;73;78;82
https://doh.wa.gov/community-and-environment/food/fish/health-benefits;diet fish;diet food;82;76;80;85;84;85
https://newsnetwork.mayoclinic.org/discussion/mayo-clinic-minute-plant-based-diet-is-encouraged-for-patients-with-cancer/;food diet;diet food list;65;65;65;73;77;75
https://www.goodto.com/wellbeing/sugar-free-diet-83093;plan sugar;diet plan;64;62;63;73;77;72
https://www.sciencedaily.com/releases/2022/01/220110145249.htm;dietary recommendations;diet recommendations;58;60;64;63;63;63
https://www.eatingwell.com/article/69763/5-of-the-healthiest-fish-to-eat-and-5-to-avoid/;seafood diet;fish diet;79;77;76;80;79;82
https://www.sciencedaily.com/releases/2010/05/100504124740.htm;flaxseed diet;flaxseed oil diet;14;10;7;10;7;13
https://newsroom.heart.org/news/eating-more-plant-foods-may-lower-heart-disease-risk-in-young-adults-older-women;foods diets;food diets;77;80;73;76;72;73
https://newsnetwork.mayoclinic.org/discussion/mayo-clinic-minute-plant-based-diet-is-encouraged-for-patients-with-cancer/;food diet;food for diet;87;82;86;83;86;88
https://pubmed.ncbi.nlm.nih.gov/37759216/;diet index;glycemic diet;76;78;71;69;16;67
https://pubmed.ncbi.nlm.nih.gov/37759216/;diet index;glycemic index diet;66;62;57;62;52;67
https://cancer.osu.edu/blog/cancer-and-food-whole-grains;diet grain;grain free diet;56;48;60;73;67;69
https://www.verywellhealth.com/mediterranean-diet-lean-beef-5184005;diet beef;ground beef diet;64;54;46;53;52;60
https://doh.wa.gov/community-and-environment/food/fish/health-benefits;healthy diet;healthy food diet;78;78;82;81;80;82
https://newsnetwork.mayoclinic.org/discussion/mayo-clinic-minute-plant-based-diet-is-encouraged-for-patients-with-cancer/;fiber diet;high fiber diet;68;66;71;72;75;79
https://health.clevelandclinic.org/cottage-cheese-benefits;cheese diet;cheese for diet;73;57;68;64;70;66
https://health.clevelandclinic.org/cottage-cheese-benefits;cheese diet;keto diet;51;51;51;56;59;60
https://www.verywellhealth.com/red-meat-bad-for-you-8414588;meats diet;keto diet meats;24;39;31;16;15;5
https://www.verywellfit.com/what-is-a-no-sugar-diet-2507715;sugar diets;low sugar diets;8;4;4;4;11;6
https://news.cancerresearchuk.org/2015/10/26/processed-meat-and-cancer-what-you-need-to-know/;meat results;meat diet;76;75;68;74;80;69
https://www.verywellhealth.com/mediterranean-diet-lean-beef-5184005;mediterranean diets;mediterranean diet;17;21;27;36;53;59
https://www.verywellhealth.com/mediterranean-diet-lean-beef-5184005;mediterranean diet;mediterranean diet recipes;22;30;33;39;45;41
https://health.clevelandclinic.org/pescatarian-diet;foods pescatarian;pescatarian diet;47;59;40;65;69;63
https://www.verywellhealth.com/red-meat-bad-for-you-8414588;diet meat;red meat diet;60;71;59;64;70;64
https://www.verywellfit.com/what-is-a-no-sugar-diet-2507715;sugar diets;sugar diet;74;54;68;81;84;80
https://www.goodto.com/wellbeing/sugar-free-diet-83093;plan sugar;sugar diet plan;61;55;62;57;60;74
https://www.verywellhealth.com/red-meat-bad-for-you-8414588;diet meat;the meat diet;78;70;70;69;74;77
https://www.verywellhealth.com/mediterranean-diet-lean-beef-5184005;mediterranean diet;the mediterranean diet;22;28;35;39;59;57
https://www.mdpi.com/2308-3425/10/3/94;vegan diet;the vegan diet;63;55;56;69;75;65
https://www.mdpi.com/2308-3425/10/3/94;diets vegan;vegan diet;64;58;47;73;70;45
https://www.mdpi.com/2308-3425/10/3/94;vegan diet;vegan diet plan;56;52;43;61;59;37
https://www.frontiersin.org/articles/10.3389/fcvm.2021.756810/full;vegetarian diets;vegan diets;59;61;52;57;62;60
https://www.frontiersin.org/articles/10.3389/fcvm.2021.756810/full;vegetarian diets;vegetarian diet;71;71;61;76;81;74
https://www.mdpi.com/2308-3425/10/3/94;vegan diets;vegetarian diets;61;51;58;62;49;57
https://www.sciencemediacentre.org/expert-reaction-to-study-on-the-vegetarian-diet-and-diabetes-risk/;diet health;what is diet;68;67;74;77;82;80
https://health.clevelandclinic.org/pescatarian-diet;pescatarian diet;what is pescatarian diet;2;8;13;21;42;25
https://cancer.osu.edu/blog/cancer-and-food-whole-grains;diet grain;whole grain diet;60;64;62;67;74;64
;;;;;;;;
https://www.medicalnewstoday.com/articles/219352#summary;benefits vitamin;b12;90;85;86;92;91;91
https://www.medicalnewstoday.com/articles/219352#summary;benefits vitamin;vitamin b12;84;79;84;91;88;90
https://www.medicalnewstoday.com/articles/219352#summary;benefits vitamin;b12 benefits;78;65;84;90;88;92
https://www.medicalnewstoday.com/articles/219352#summary;vitamin benefits;vitamin b12 benefits;64;52;79;87;87;88
